Date,Service,Ligne,Nom_de_la_ligne,Taux_de_ponctualité,Nombre_de_voyageurs_à_l'heure_pour_un_voyageur_en_retard
2/1/2015,Transilien,N,Paris Montparnasse,83.60,15.10
2/1/2015,Transilien,P,Paris Est,83.60,12.80
2/1/2015,Transilien,R,Paris Sud Est,83.60,10.40
2/1/2015,Transilien,U,La Verrière - La Défense,83.60,10.70
3/1/2015,RER,A,RER A,83.60,2.60
3/1/2015,RER,B,RER B,83.60,8.90
3/1/2015,RER,C,RER C,83.60,8.00
3/1/2015,RER,D,RER D,83.60,6.30
3/1/2015,RER,E,RER E,83.60,26.20
3/1/2015,Transilien,H,Paris Nord Ouest,83.60,24.40
3/1/2015,Transilien,J,Paris Saint-Lazare Nord,83.60,7.00
3/1/2015,Transilien,K,Paris Nord Crépy,83.60,7.40
3/1/2015,Transilien,L,Paris Saint-Lazare Sud,83.60,4.80
3/1/2015,Transilien,N,Paris Montparnasse,83.60,18.10
3/1/2015,Transilien,P,Paris Est,83.60,13.80
3/1/2015,Transilien,R,Paris Sud Est,83.60,9.40
3/1/2015,Transilien,U,La Verrière - La Défense,83.60,23.50
4/1/2015,RER,A,RER A,83.60,2.60
4/1/2015,RER,B,RER B,83.60,6.20
4/1/2015,RER,C,RER C,83.60,8.30
4/1/2015,RER,D,RER D,83.60,6.40
4/1/2015,RER,E,RER E,83.60,9.60
4/1/2015,Transilien,H,Paris Nord Ouest,83.60,19.30
4/1/2015,Transilien,J,Paris Saint-Lazare Nord,83.60,9.90
4/1/2015,Transilien,K,Paris Nord Crépy,83.60,6.20
4/1/2015,Transilien,L,Paris Saint-Lazare Sud,83.60,4.50
4/1/2015,Transilien,N,Paris Montparnasse,83.60,15.40
4/1/2015,Transilien,P,Paris Est,83.60,7.30
4/1/2015,Transilien,R,Paris Sud Est,83.60,6.20
4/1/2015,Transilien,U,La Verrière - La Défense,83.60,13.60
5/1/2015,RER,A,RER A,83.60,2.50
5/1/2015,RER,B,RER B,83.60,6.70
5/1/2015,RER,C,RER C,83.60,10.70
5/1/2015,RER,D,RER D,83.60,6.30
5/1/2015,RER,E,RER E,83.60,23.90
5/1/2015,Transilien,H,Paris Nord Ouest,83.60,23.60
5/1/2015,Transilien,J,Paris Saint-Lazare Nord,83.60,10.00
5/1/2015,Transilien,K,Paris Nord Crépy,83.60,10.60
5/1/2015,Transilien,L,Paris Saint-Lazare Sud,83.60,6.10
